submit,prop,cond,bet,guess,pbet,pguess,key1,key2,ckey1,ckey2,cguess,locked,endTR,subnum,subject
10,1,4,30,0,20,1,1,0,-999999,-999999,-999999,0,292,2,'591-AB-1'
-999999,2,2,2,0,1,0,-999999,-999999,-999999,-999999,-999999,1,1428,2,'591-AB-1'
40,3,4,40,1,24,0,4,0,-999999,-999999,-999999,0,664,2,'591-AB-1'
40,4,1,40,1,56,1,4,0,-999999,-999999,-999999,0,91,2,'591-AB-1'
4,5,4,10,0,7,1,0,4,-999999,-999999,-999999,0,1247,2,'591-AB-1'
20,6,2,1,1,12,1,2,0,-999999,-999999,1,0,519,2,'591-AB-1'
20,7,2,20,0,3,0,2,0,-999999,-999999,-999999,0,942,2,'591-AB-1'
40,8,2,30,1,10,1,4,0,-999999,-999999,-999999,0,887,2,'591-AB-1'
10,9,2,2,0,1,0,1,0,0,2,-999999,0,247,2,'591-AB-1'
40,10,1,30,1,44,1,4,0,-999999,-999999,-999999,0,973,2,'591-AB-1'
60,11,1,50,0,57,0,6,0,-999999,-999999,-999999,0,1468,2,'591-AB-1'
10,12,4,10,1,3,0,1,0,-999999,-999999,-999999,0,842,2,'591-AB-1'
40,13,4,40,1,27,0,4,0,-999999,-999999,-999999,0,656,2,'591-AB-1'
20,14,2,20,0,1,0,2,0,-999999,-999999,-999999,0,1184,2,'591-AB-1'
20,15,1,10,0,22,0,2,0,-999999,-999999,-999999,0,1239,2,'591-AB-1'
30,16,1,10,1,23,1,3,0,-999999,-999999,-999999,0,325,2,'591-AB-1'
50,17,1,30,0,47,0,5,0,-999999,-999999,-999999,0,619,2,'591-AB-1'
10,18,4,20,0,7,1,1,0,-999999,-999999,-999999,0,222,2,'591-AB-1'
-999999,19,2,50,1,33,1,-999999,-999999,-999999,-999999,-999999,1,1137,2,'591-AB-1'
10,20,2,10,1,7,1,1,0,-999999,-999999,-999999,0,1490,2,'591-AB-1'
10,21,5,10,0,-999999,-999999,1,0,-999999,-999999,-999999,0,63,2,'591-AB-1'
20,22,3,10,0,30,1,2,0,-999999,-999999,-999999,0,212,2,'591-AB-1'
50,23,1,50,0,53,0,5,0,-999999,-999999,-999999,0,183,2,'591-AB-1'
20,24,2,10,1,6,1,2,0,-999999,-999999,-999999,0,446,2,'591-AB-1'
10,25,3,10,1,16,0,1,0,-999999,-999999,-999999,0,1105,2,'591-AB-1'
40,26,2,40,0,33,0,4,0,3,3,-999999,0,1027,2,'591-AB-1'
10,27,1,1,0,16,0,1,0,-999999,-999999,-999999,0,389,2,'591-AB-1'
-999999,28,3,30,0,46,1,-999999,-999999,-999999,-999999,0,1,256,2,'591-AB-1'
10,29,3,20,1,35,0,1,0,-999999,-999999,-999999,0,202,2,'591-AB-1'
-999999,30,5,20,0,-999999,-999999,-999999,-999999,-999999,-999999,-999999,1,489,2,'591-AB-1'
50,31,3,50,1,52,0,5,0,-999999,-999999,-999999,0,37,2,'591-AB-1'
40,32,3,50,0,52,1,4,0,-999999,-999999,-999999,0,594,2,'591-AB-1'
10,33,1,4,0,17,0,1,0,1,7,-999999,0,1369,2,'591-AB-1'
40,34,2,40,1,24,1,4,0,-999999,-999999,-999999,0,1301,2,'591-AB-1'
30,35,2,30,1,20,1,3,0,-999999,-999999,-999999,0,784,2,'591-AB-1'
2,36,3,20,0,41,1,0,2,-999999,-999999,-999999,0,116,2,'591-AB-1'
40,37,1,40,0,56,0,4,0,-999999,-999999,-999999,0,1443,2,'591-AB-1'
40,38,2,30,1,16,1,4,0,-999999,-999999,-999999,0,106,2,'591-AB-1'
10,39,4,10,1,4,0,1,0,-999999,-999999,-999999,0,413,2,'591-AB-1'
10,40,3,50,0,55,1,1,0,-999999,-999999,-999999,0,1121,2,'591-AB-1'
20,41,1,10,0,21,0,2,0,-999999,-999999,-999999,0,1129,2,'591-AB-1'
20,42,5,7,0,-999999,-999999,2,0,-999999,-999999,-999999,0,546,2,'591-AB-1'
7,43,3,20,0,33,1,0,7,3,3,-999999,0,1500,2,'591-AB-1'
40,44,4,40,1,23,0,4,0,-999999,-999999,0,0,740,2,'591-AB-1'
1,45,4,7,0,4,1,0,1,-999999,-999999,-999999,0,1326,2,'591-AB-1'
20,46,3,20,0,40,1,2,0,-999999,-999999,-999999,0,730,2,'591-AB-1'
20,47,2,40,0,20,0,2,0,-999999,-999999,-999999,0,274,2,'591-AB-1'
30,48,5,30,1,-999999,-999999,3,0,-999999,-999999,-999999,0,1149,2,'591-AB-1'
20,49,4,30,0,17,1,2,0,-999999,-999999,-999999,0,1223,2,'591-AB-1'
10,50,1,10,0,30,0,1,0,-999999,-999999,-999999,0,1351,2,'591-AB-1'
20,51,4,20,0,5,1,2,0,-999999,-999999,-999999,0,1113,2,'591-AB-1'
20,52,3,20,0,36,1,2,0,-999999,-999999,-999999,0,1512,2,'591-AB-1'
1,53,3,20,0,36,1,0,1,-999999,-999999,-999999,0,849,2,'591-AB-1'
-999999,54,4,20,0,7,1,-999999,-999999,-999999,-999999,-999999,1,282,2,'591-AB-1'
